"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2016","67.411","67.428","67.609","67.380","","-0.03%"
"12/14/2016","67.475","67.410","67.605","67.385","","0.09%"
"12/15/2016","67.857","67.765","67.950","67.684","","0.57%"
"12/16/2016","67.855","67.855","67.885","67.734","","0.00%"
"12/19/2016","67.844","67.850","67.900","67.704","","-0.02%"
"12/20/2016","67.917","67.847","68.111","67.805","","0.11%"
"12/21/2016","67.837","67.917","67.966","67.770","","-0.12%"
"12/22/2016","67.848","67.838","68.035","67.820","","0.02%"
"12/23/2016","67.837","67.845","67.955","67.737","","-0.02%"
"12/26/2016","67.760","67.841","67.866","67.702","","-0.11%"
"12/27/2016","67.978","67.845","68.084","67.770","","0.32%"
"12/28/2016","68.233","67.977","68.270","67.954","","0.38%"
"12/29/2016","67.935","68.232","68.257","67.905","","-0.44%"
"12/30/2016","67.955","67.935","68.005","67.845","","0.03%"
"01/02/2017","68.145","67.955","68.240","67.920","","0.28%"
"01/03/2017","68.260","68.145","68.440","68.044","","0.17%"
"01/04/2017","67.886","68.280","68.295","67.851","","-0.55%"
"01/05/2017","67.743","67.895","68.012","67.729","","-0.21%"
"01/06/2017","68.115","67.740","68.182","67.739","","0.55%"
"01/09/2017","68.100","68.116","68.300","68.065","","-0.02%"
"01/10/2017","68.327","68.151","68.351","67.984","","0.33%"
"01/11/2017","68.312","68.325","68.505","68.174","","-0.02%"
"01/12/2017","68.141","68.195","68.196","67.947","","-0.25%"
"01/13/2017","68.180","68.140","68.318","68.088","","0.06%"
"01/16/2017","68.103","68.168","68.280","68.070","","-0.11%"
"01/17/2017","67.862","68.103","68.157","67.854","","-0.35%"
"01/18/2017","68.220","67.855","68.222","67.854","","0.53%"
"01/19/2017","68.100","68.220","68.315","68.070","","-0.18%"
"01/20/2017","68.075","68.100","68.275","67.963","","-0.04%"
"01/23/2017","68.051","68.081","68.229","68.000","","-0.04%"
"01/24/2017","68.138","68.050","68.178","68.040","","0.13%"
"01/25/2017","67.988","68.137","68.200","67.971","","-0.22%"
"01/26/2017","68.176","67.985","68.237","67.965","","0.28%"
"01/27/2017","68.105","68.176","68.235","68.002","","-0.10%"
"01/30/2017","67.829","68.106","68.120","67.754","","-0.41%"
"01/31/2017","67.515","67.829","67.901","67.440","","-0.46%"
"02/01/2017","67.415","67.655","67.688","67.403","","-0.15%"
"02/02/2017","67.210","67.390","67.510","67.210","","-0.30%"
"02/03/2017","67.184","67.205","67.425","67.184","","-0.04%"
"02/06/2017","67.195","67.205","67.235","67.125","","0.02%"
"02/07/2017","67.350","67.200","67.455","67.200","","0.23%"
"02/08/2017","67.050","67.385","67.387","67.050","","-0.45%"
"02/09/2017","66.765","67.045","67.068","66.705","","-0.43%"
"02/10/2017","66.854","66.815","66.985","66.765","","0.13%"
"02/13/2017","66.975","66.905","67.042","66.900","","0.18%"
"02/14/2017","66.835","66.945","66.986","66.785","","-0.21%"
"02/15/2017","66.875","66.925","66.985","66.860","","0.06%"
"02/16/2017","67.080","66.945","67.120","66.900","","0.31%"
"02/17/2017","67.080","67.125","67.153","66.983","","0.00%"
"02/20/2017","66.905","67.065","67.065","66.901","","-0.26%"
"02/21/2017","66.985","66.970","67.025","66.929","","0.12%"
"02/22/2017","66.950","66.980","67.013","66.875","","-0.05%"
"02/23/2017","66.690","66.950","66.980","66.690","","-0.39%"
"02/24/2017","66.645","66.637","66.685","66.595","","-0.07%"
"02/27/2017","66.700","66.715","66.785","66.645","","0.08%"
"02/28/2017","66.725","66.745","66.815","66.630","","0.04%"
"03/01/2017","66.865","66.720","66.920","66.715","","0.21%"
"03/02/2017","66.785","66.762","66.816","66.670","","-0.12%"
"03/03/2017","66.780","66.875","66.885","66.768","","-0.01%"
"03/06/2017","66.675","66.776","66.783","66.645","","-0.16%"
"03/07/2017","66.625","66.675","66.695","66.589","","-0.07%"
"03/08/2017","66.765","66.626","66.780","66.625","","0.21%"
"03/09/2017","66.690","66.822","66.860","66.655","","-0.11%"
"03/10/2017","66.555","66.725","66.725","66.545","","-0.20%"
"03/13/2017","66.180","66.153","66.185","66.140","","-0.56%"
"03/14/2017","65.775","66.205","66.245","65.735","","-0.61%"
"03/15/2017","65.630","65.780","65.795","65.415","","-0.22%"
"03/16/2017","65.385","65.390","65.515","65.235","","-0.37%"
"03/17/2017","65.475","65.475","65.653","65.390","","0.14%"
"03/20/2017","65.345","65.405","65.474","65.295","","-0.20%"
"03/21/2017","65.345","65.395","65.445","65.210","","0.00%"
"03/22/2017","65.455","65.565","65.570","65.375","","0.17%"
"03/23/2017","65.455","65.405","65.568","65.380","","0.00%"
"03/24/2017","65.425","65.485","65.528","65.370","","-0.05%"
"03/27/2017","64.995","65.275","65.275","64.960","","-0.66%"
"03/28/2017","65.045","65.095","65.120","65.025","","0.08%"
"03/29/2017","64.875","65.105","65.105","64.845","","-0.26%"
"03/30/2017","64.860","64.850","64.985","64.850","","-0.02%"
"03/31/2017","64.860","64.925","64.983","64.795","","0.00%"
"04/03/2017","64.985","64.805","65.088","64.765","","0.19%"
"04/04/2017","65.080","65.170","65.170","65.075","","0.15%"
"04/05/2017","64.875","65.075","65.173","64.875","","-0.31%"
"04/06/2017","64.606","65.045","65.060","64.505","","-0.41%"
