"Date","Price","Open","High","Low","Vol.","Change %"
"06-02-2022","245.00","231.00","242.00","231.00","0.09K","7.79%"
"30-01-2022","227.30","210.00","227.00","210.00","0.28K","-0.15%"
"23-01-2022","227.65","227.65","227.65","227.65","0.00K","1.36%"
"16-01-2022","224.60","226.00","226.00","225.00","0.05K","3.62%"
"09-01-2022","216.75","203.00","220.00","197.00","0.23K","10.64%"
"02-01-2022","195.90","172.00","195.00","171.00","1.50K","15.51%"
"26-12-2021","169.60","169.60","169.60","169.60","","0.41%"
"19-12-2021","168.90","168.90","168.90","168.90","","0.54%"
"12-12-2021","168.00","168.00","168.00","168.00","","2.60%"
"05-12-2021","163.75","159.00","165.00","159.00","0.17K","5.48%"
"28-11-2021","155.25","164.50","164.50","152.00","0.38K","-1.43%"
"21-11-2021","157.50","160.00","160.00","160.00","0.00K","3.28%"
"14-11-2021","152.50","152.50","152.50","152.50","","1.67%"
"07-11-2021","150.00","161.00","170.00","151.00","0.27K","-3.47%"
"31-10-2021","155.40","155.00","161.35","139.00","0.38K","-30.45%"
"24-10-2021","223.45","223.45","223.45","223.45","","-2.85%"
"17-10-2021","230.00","240.00","240.00","232.00","0.02K","-4.17%"
"10-10-2021","240.00","240.00","247.00","238.00","0.15K","0.59%"
"03-10-2021","238.60","228.00","242.75","228.00","0.32K","4.65%"
"26-09-2021","228.00","210.00","212.50","210.00","0.26K","25.62%"
"19-09-2021","181.50","180.00","181.00","180.00","0.01K","2.25%"
"12-09-2021","177.50","177.50","177.50","177.50","0.01K","-0.06%"
"05-09-2021","177.60","177.60","177.60","177.60","","-0.78%"
"29-08-2021","179.00","172.00","172.00","172.00","0.04K","4.71%"
"22-08-2021","170.95","170.95","170.95","170.95","","1.91%"
"15-08-2021","167.75","172.25","172.25","172.00","0.07K","-2.89%"
"08-08-2021","172.75","165.00","172.25","165.00","0.11K","7.33%"
"01-08-2021","160.95","152.75","160.95","152.25","0.45K","7.48%"
"25-07-2021","149.75","149.75","149.75","149.75","","0.00%"
"18-07-2021","149.75","148.75","150.00","148.75","0.08K","1.11%"
"11-07-2021","148.10","148.10","148.10","148.10","0.08K","3.57%"
"04-07-2021","143.00","142.50","143.00","140.00","0.25K","2.69%"
"27-06-2021","139.25","130.50","137.75","128.50","0.36K","9.04%"
"20-06-2021","127.70","127.70","127.70","127.70","0.07K","2.16%"
"13-06-2021","125.00","125.00","125.00","125.00","0.03K","-1.57%"
"06-06-2021","127.00","127.00","127.00","127.00","0.05K","6.05%"
"30-05-2021","119.75","119.00","121.25","119.00","0.03K","12.97%"
"23-05-2021","106.00","101.00","105.00","101.00","0.01K","4.95%"
"16-05-2021","101.00","99.50","101.00","99.20","0.03K","2.02%"
"09-05-2021","99.00","97.40","97.65","97.40","0.03K","2.96%"
"02-05-2021","96.15","95.15","95.25","95.15","0.05K","3.05%"
"25-04-2021","93.30","93.30","93.30","93.30","0.01K","0.32%"
"18-04-2021","93.00","93.00","93.00","93.00","0.03K","-1.38%"
"11-04-2021","94.30","93.50","94.35","93.50","0.20K","1.29%"
"04-04-2021","93.10","94.60","94.60","93.00","0.41K","-3.52%"
"28-03-2021","96.50","95.25","97.25","93.25","0.28K","2.71%"
"21-03-2021","93.95","94.00","95.00","94.00","0.02K","1.29%"
"14-03-2021","92.75","90.50","93.00","90.50","0.03K","3.06%"
"07-03-2021","90.00","87.50","90.00","87.30","0.07K","2.56%"
"28-02-2021","87.75","84.50","88.00","84.50","0.23K","3.11%"
"21-02-2021","85.10","85.10","85.10","85.10","0.07K","-1.05%"
"14-02-2021","86.00","87.00","87.00","86.50","0.02K","-1.66%"
"07-02-2021","87.45","87.00","87.00","87.00","0.14K","0.92%"
"31-01-2021","86.65","89.25","89.25","83.50","0.40K","0.52%"
"24-01-2021","86.20","85.90","86.25","85.90","0.04K","0.35%"
"17-01-2021","85.90","85.55","85.55","84.75","0.08K","-1.72%"
"10-01-2021","87.40","87.40","87.40","87.40","0.24K","3.68%"
"03-01-2021","84.30","82.25","84.00","79.30","0.36K","4.72%"
"27-12-2020","80.50","84.50","84.50","80.50","0.17K","0.81%"
"20-12-2020","79.85","79.85","79.85","79.85","0.05K","-0.19%"
"13-12-2020","80.00","80.00","80.00","80.00","0.04K","2.96%"
"06-12-2020","77.70","74.50","77.95","74.50","0.23K","4.65%"
"29-11-2020","74.25","69.00","74.00","69.00","0.16K","16.20%"
"22-11-2020","63.90","63.90","63.90","63.90","0.11K","0.87%"
"15-11-2020","63.35","62.20","63.30","62.20","0.10K","1.77%"
"08-11-2020","62.25","62.20","62.20","62.20","0.00K","0.97%"
"01-11-2020","61.65","59.75","61.70","59.75","0.17K","5.93%"
"25-10-2020","58.20","58.05","58.20","58.00","0.02K","0.34%"
"18-10-2020","58.00","57.00","58.00","57.00","0.03K","3.02%"
"11-10-2020","56.30","55.00","56.25","54.35","0.17K","-1.92%"
"04-10-2020","57.40","57.95","58.00","57.90","0.07K","-0.26%"
"27-09-2020","57.55","58.75","58.75","57.60","0.60K","9.00%"
"20-09-2020","52.80","52.30","52.80","52.30","0.09K","1.44%"
"13-09-2020","52.05","50.75","52.20","50.70","0.05K","2.56%"
"06-09-2020","50.75","48.50","51.00","48.40","0.04K","3.57%"
"30-08-2020","49.00","51.50","51.50","49.00","0.06K","-1.51%"
"23-08-2020","49.75","49.90","49.90","49.90","0.02K","-0.10%"
"16-08-2020","49.80","50.40","50.40","50.40","0.00K","-1.19%"
"09-08-2020","50.40","49.50","50.25","49.50","0.02K","-1.56%"
"02-08-2020","51.20","52.40","52.40","52.00","0.12K","-1.44%"
"26-07-2020","51.95","51.95","51.95","51.95","0.01K","-0.10%"
"19-07-2020","52.00","52.30","52.30","52.00","0.01K","-0.38%"
"12-07-2020","52.20","52.25","52.70","52.10","0.13K","-0.38%"
"05-07-2020","52.40","52.65","53.25","52.35","0.13K","-0.10%"
"28-06-2020","52.45","52.50","53.00","51.40","0.36K","-1.96%"
"21-06-2020","53.50","53.50","53.50","53.50","0.06K","0.75%"
"14-06-2020","53.10","53.10","53.10","53.10","0.07K","0.19%"
"07-06-2020","53.00","55.00","55.00","53.00","0.15K","-4.68%"
"31-05-2020","55.60","55.50","56.00","55.10","0.19K","6.92%"
"24-05-2020","52.00","52.00","52.00","52.00","0.02K","0.10%"
"17-05-2020","51.95","52.00","52.00","52.00","0.05K","1.96%"
"10-05-2020","50.95","52.00","52.40","51.50","0.04K","-0.39%"
"03-05-2020","51.15","50.50","51.60","50.50","0.17K","-0.20%"
"26-04-2020","51.25","50.90","52.00","50.50","0.36K","-16.12%"
"19-04-2020","61.10","61.25","61.25","61.00","0.04K","-1.45%"
"12-04-2020","62.00","62.40","62.40","61.50","0.09K","-2.52%"
"05-04-2020","63.60","64.50","64.50","64.50","0.13K","-3.71%"
"29-03-2020","66.05","69.00","69.15","65.45","0.63K","-0.90%"
"22-03-2020","66.65","66.10","66.50","66.05","0.04K","0.53%"
"15-03-2020","66.30","66.10","66.35","66.00","0.12K","0.76%"
"08-03-2020","65.80","64.70","66.00","64.60","0.18K","-0.15%"
"01-03-2020","65.90","66.25","66.60","65.30","0.39K","-2.23%"
"23-02-2020","67.40","67.40","67.40","67.40","0.06K","-0.74%"
"16-02-2020","67.90","68.60","68.60","68.30","0.04K","-2.23%"
"09-02-2020","69.45","69.45","69.45","69.45","0.04K","1.39%"
"02-02-2020","68.50","69.00","69.75","68.50","0.44K","0.00%"
"26-01-2020","68.50","68.50","68.50","68.50","0.05K","-0.87%"
"19-01-2020","69.10","69.10","69.10","69.10","0.02K","-1.29%"
"12-01-2020","70.00","72.35","72.35","72.35","0.12K","-1.27%"
"05-01-2020","70.90","67.30","71.15","67.20","0.48K","5.04%"
"29-12-2019","67.50","67.50","67.50","67.25","0.27K","1.43%"
"22-12-2019","66.55","66.55","66.55","66.55","0.00K","0.30%"
"15-12-2019","66.35","66.45","66.55","66.40","0.02K","0.08%"
"08-12-2019","66.30","66.25","66.30","66.00","0.06K","-0.15%"
"01-12-2019","66.40","67.75","67.75","67.00","0.13K","-2.14%"
"24-11-2019","67.85","67.85","67.85","67.85","0.16K","-0.07%"
"17-11-2019","67.90","67.90","67.90","67.90","0.12K","1.12%"
"10-11-2019","67.15","66.80","66.80","66.80","0.13K","0.52%"
"03-11-2019","66.80","66.50","66.50","66.25","0.06K","-0.67%"
"27-10-2019","67.25","67.00","67.10","66.60","0.14K","-0.59%"
"20-10-2019","67.65","67.65","67.65","67.65","0.20K","0.22%"
"13-10-2019","67.50","67.50","67.50","67.50","0.09K","1.66%"
"06-10-2019","66.40","66.25","67.50","66.25","0.17K","1.84%"
"29-09-2019","65.20","68.15","68.30","65.25","0.48K","-0.53%"
"22-09-2019","65.55","65.55","65.55","65.55","0.07K","0.15%"
"15-09-2019","65.45","66.00","66.25","66.00","0.03K","-0.38%"
"08-09-2019","65.70","65.50","66.40","65.40","0.22K","-0.83%"
"01-09-2019","66.25","65.25","66.75","65.25","0.36K","0.76%"
"25-08-2019","65.75","65.75","65.75","65.75","0.10K","0.00%"
"18-08-2019","65.75","65.75","65.75","65.75","0.11K","-0.83%"
"11-08-2019","66.30","66.30","66.30","66.30","0.13K","-2.28%"
"04-08-2019","67.85","68.10","68.35","67.50","0.06K","-1.88%"
"28-07-2019","69.15","72.25","72.25","68.90","0.29K","-6.87%"
"21-07-2019","74.25","74.85","74.85","74.00","0.09K","0.20%"
"14-07-2019","74.10","74.10","74.10","74.10","0.17K","-0.67%"
"07-07-2019","74.60","75.20","75.20","75.00","0.28K","-2.10%"
"30-06-2019","76.20","76.20","76.20","76.20","0.31K","7.48%"
"23-06-2019","70.90","70.90","70.90","70.90","0.10K","-0.56%"
"16-06-2019","71.30","71.30","71.30","71.30","0.09K","-0.14%"
"09-06-2019","71.40","72.80","72.80","71.90","0.11K","-1.92%"
"02-06-2019","72.80","75.30","75.30","72.50","0.23K","-12.71%"
"26-05-2019","83.40","83.40","83.40","83.40","0.04K","-0.30%"
"19-05-2019","83.65","83.65","83.65","83.65","0.00K","-0.54%"
"12-05-2019","84.10","85.50","85.60","84.65","0.01K","-2.38%"
"05-05-2019","86.15","86.75","87.00","86.10","0.04K","-1.66%"
"28-04-2019","87.60","86.75","87.30","86.50","0.13K","2.82%"
"21-04-2019","85.20","85.20","85.20","85.20","0.01K","0.89%"
"14-04-2019","84.45","84.45","84.45","84.45","0.01K","0.30%"
"07-04-2019","84.20","81.50","82.00","81.50","0.12K","6.79%"
"31-03-2019","78.85","78.85","78.85","78.85","0.49K","-14.99%"
"24-03-2019","92.75","92.75","92.75","92.75","0.12K","-0.59%"
"17-03-2019","93.30","93.30","93.30","93.30","0.01K","-0.59%"
"10-03-2019","93.85","93.85","93.85","93.85","0.07K","-1.78%"
"03-03-2019","95.55","97.60","98.00","95.60","0.44K","-1.49%"
"24-02-2019","97.00","93.50","93.50","93.50","0.46K","2.05%"
"17-02-2019","95.05","95.05","95.05","95.05","0.05K","0.21%"
"10-02-2019","94.85","95.50","95.50","95.50","0.02K","-2.42%"
"03-02-2019","97.20","98.00","98.60","97.70","0.37K","-1.17%"
"27-01-2019","98.35","99.00","99.10","98.50","0.33K","-0.41%"
"20-01-2019","98.75","98.75","98.75","98.75","0.01K","-1.00%"
"13-01-2019","99.75","99.75","99.75","99.75","0.21K","1.73%"
"06-01-2019","98.05","98.05","98.05","98.05","0.36K","-1.46%"
"30-12-2018","99.50","99.50","99.50","99.50","0.25K","-2.36%"
"23-12-2018","101.90","101.90","101.90","101.90","0.01K","0.20%"
"16-12-2018","101.70","102.00","102.00","101.60","0.01K","-0.59%"
"09-12-2018","102.30","102.20","102.20","102.20","0.08K","-0.24%"
"02-12-2018","102.55","102.55","102.55","102.55","0.03K","0.84%"
"25-11-2018","101.70","101.70","101.70","101.70","0.00K","-0.05%"
"18-11-2018","101.75","101.75","101.75","101.75","0.01K","-0.73%"
"11-11-2018","102.50","102.50","102.50","102.50","0.03K","-3.21%"
"04-11-2018","105.90","105.25","105.75","105.25","0.10K","2.42%"
"28-10-2018","103.40","104.00","104.00","103.50","0.45K","-5.70%"
"21-10-2018","109.65","109.65","109.65","109.65","0.01K","-0.32%"
"14-10-2018","110.00","110.00","110.00","110.00","0.02K","0.73%"
"07-10-2018","109.20","109.20","109.20","109.20","0.10K","-3.92%"
